docket_id,customer_id,short_name,order_size1,order_size2,net_out,unitizing_bundle_qty,unitizing_unit_qty,unitizing_max_height,unitizing_piling_pattern_id
109995,11806,,22.1,66.02,1.0,0,0,48,0
109996,11806,,22.1,66.02,1.0,0,0,48,0
109999,11806,,22.1,66.02,1.0,0,0,48,0
110000,11806,,22.1,66.02,1.0,0,0,48,0
110001,11806,,22.1,66.02,1.0,0,0,48,0
110002,11806,,22.1,66.02,1.0,0,0,48,0
110003,11806,,22.1,66.02,1.0,0,0,48,0
110004,11806,,22.1,66.02,1.0,0,0,48,0
110005,11806,,22.1,66.02,1.0,0,0,48,0
110006,11806,,22.1,66.02,1.0,0,0,48,0
110007,11806,,22.1,66.02,1.0,0,0,48,0
110008,11806,,22.1,66.02,1.0,0,0,48,0
110009,11806,,22.1,66.02,1.0,0,0,48,0
110010,11806,,22.1,66.02,1.0,0,0,48,0
110011,11806,,22.1,66.02,1.0,0,0,48,0
110012,11806,,22.1,66.02,1.0,0,0,48,0
110013,11806,,22.1,66.02,1.0,0,0,48,0
110014,11806,,22.1,66.02,1.0,0,0,48,0
110015,11806,,22.1,66.02,1.0,0,0,48,0
110016,11806,,22.1,66.02,1.0,0,0,48,0
110017,11806,,22.1,66.02,1.0,0,0,48,0
110018,11806,,22.1,66.02,1.0,0,0,48,0
110019,11806,,22.1,66.02,1.0,0,0,48,0
110020,11806,,22.1,66.02,1.0,0,0,48,0
110021,11806,,22.1,66.02,1.0,0,0,48,0
110022,11806,,22.1,66.02,1.0,0,0,48,0
110023,11806,,22.1,66.02,1.0,0,0,48,0
110024,11806,,22.1,66.02,1.0,0,0,48,0
110025,11806,,22.1,66.02,1.0,0,0,48,0
110026,11806,,22.1,66.02,1.0,0,0,48,0
110027,11806,,22.1,66.02,1.0,0,0,48,0
110028,11806,,22.1,66.02,1.0,0,0,48,0
110029,11806,,22.1,66.02,1.0,0,0,48,0
110030,11806,,22.1,66.02,1.0,0,0,48,0
110031,11806,,22.1,66.02,1.0,0,0,48,0
110032,11806,,22.1,66.02,1.0,0,0,48,0
110033,11806,,22.1,66.02,1.0,0,0,48,0
110034,11806,,22.1,66.02,1.0,0,0,48,0
110035,11806,,22.1,66.02,1.0,0,0,48,0
110036,11806,,22.1,66.02,1.0,0,0,48,0
110037,11806,,22.1,66.02,1.0,0,0,48,0
110038,11806,,22.1,66.02,1.0,0,0,48,0
110039,11806,,22.1,66.02,1.0,0,0,48,0
110040,11806,,22.1,66.02,1.0,0,0,48,0
110041,11806,,22.1,66.02,1.0,0,0,48,0
110042,11806,,22.1,66.02,1.0,0,0,48,0
110043,11806,,22.1,66.02,1.0,0,0,48,0
110045,11806,,22.1,66.02,1.0,0,0,48,0
110046,11806,,22.1,66.02,1.0,0,0,48,0
110047,11806,,22.1,66.02,1.0,0,0,48,0
110048,11806,,22.1,66.02,1.0,0,0,48,0
110049,11806,,22.1,66.02,1.0,0,0,48,0
110050,11806,,22.1,66.02,1.0,0,0,48,0
110051,11806,,22.1,66.02,1.0,0,0,48,0
110052,11806,,22.1,66.02,1.0,0,0,48,0
110053,11806,,22.1,66.02,1.0,0,0,48,0
110054,11806,,22.1,66.02,1.0,0,0,48,0
110055,11806,,22.1,66.02,1.0,0,0,48,0
110056,11806,,22.1,66.02,1.0,0,0,48,0
110057,11806,,22.1,66.02,1.0,0,0,48,0
110058,11806,,22.1,66.02,1.0,0,0,48,0
110059,11806,,22.1,66.02,1.0,0,0,48,0
110060,11806,,22.1,66.02,1.0,0,0,48,0
110061,11806,,22.1,66.02,1.0,0,0,48,0
110062,11806,,22.1,66.02,1.0,0,0,48,0
110063,11806,,22.1,66.02,1.0,0,0,48,0
110064,11806,,22.1,66.02,1.0,0,0,48,0
110065,11806,,22.1,66.02,1.0,0,0,48,0
110066,11806,,22.1,66.02,1.0,0,0,48,0
110067,11806,,22.1,66.02,1.0,0,0,48,0
110068,11806,,22.1,66.02,1.0,0,0,48,0
110069,11806,,22.1,66.02,1.0,0,0,48,0
110070,11806,,22.1,66.02,1.0,0,0,48,0
110071,11806,,22.1,66.02,1.0,0,0,48,0
110072,11806,,22.1,66.02,1.0,0,0,48,0
110073,11806,,22.1,66.02,1.0,0,0,48,0
110074,11806,,22.1,66.02,1.0,0,0,48,0
110075,11806,,22.1,66.02,1.0,0,0,48,0
110076,11806,,22.1,66.02,1.0,0,0,48,0
110077,11806,,22.1,66.02,1.0,0,0,48,0
110078,11806,,22.1,66.02,1.0,0,0,48,0
110079,11806,,22.1,66.02,1.0,0,0,48,0
110080,11806,,22.1,66.02,1.0,0,0,48,0
110081,11806,,22.1,66.02,1.0,0,0,48,0
110082,11806,,22.1,66.02,1.0,0,0,48,0
110083,11806,,22.1,66.02,1.0,0,0,48,0
110084,11806,,22.1,66.02,1.0,0,0,48,0
110085,11806,,22.1,66.02,1.0,0,0,48,0
110086,11806,,22.1,66.02,1.0,0,0,48,0
110087,11806,,22.1,66.02,1.0,0,0,48,0
110088,11806,,22.1,66.02,1.0,0,0,48,0
110089,11806,,22.1,66.02,1.0,0,0,48,0
110090,11806,,22.1,66.02,1.0,0,0,48,0
110091,11806,,22.1,66.02,1.0,0,0,48,0
110092,11806,,22.1,66.02,1.0,0,0,48,0
